iteration,stack,req_per_sec,avg_latency_ms,p50_ms,p90_ms,p99_ms,total_2xx
1,zeal,64427,2.620,2.000,5.000,9.000,644283
1,raw,73707,2.240,2.000,3.000,5.000,737062
1,express,47197,3.760,3.000,6.000,10.000,471996
2,zeal,64714,2.630,2.000,4.000,8.000,647066
2,raw,72080,2.350,2.000,3.000,5.000,720777
2,express,47955,3.660,3.000,5.000,9.000,527505
3,zeal,66490,2.550,2.000,4.000,8.000,664905
3,raw,74178,2.290,2.000,3.000,5.000,741734
3,express,47920,3.670,3.000,6.000,9.000,527078
4,zeal,64997,2.600,2.000,4.000,8.000,649867
4,raw,74200,2.260,2.000,3.000,5.000,741940
4,express,46652,3.770,3.000,6.000,10.000,513141
5,zeal,66053,2.560,2.000,4.000,8.000,660512
5,raw,73090,2.290,2.000,3.000,5.000,730915
5,express,47207,3.710,4.000,6.000,10.000,519316
6,zeal,66726,2.530,2.000,4.000,8.000,667258
6,raw,73774,2.280,2.000,3.000,5.000,737751
6,express,47420,3.710,3.000,6.000,9.000,521586
7,zeal,66942,2.520,2.000,4.000,8.000,669371
7,raw,74443,2.260,2.000,3.000,5.000,744328
7,express,44737,3.990,4.000,6.000,11.000,492068
8,zeal,62376,2.710,2.000,5.000,9.000,623733
8,raw,72920,2.290,2.000,3.000,5.000,729221
8,express,46396,3.790,3.000,6.000,10.000,510350
9,zeal,63222,2.670,2.000,5.000,9.000,632212
9,raw,71979,2.280,2.000,3.000,5.000,719741
9,express,46768,3.790,4.000,6.000,9.000,514429
10,zeal,66405,2.550,2.000,4.000,8.000,663983
10,raw,71218,2.310,2.000,3.000,5.000,712198
10,express,46851,3.760,3.000,6.000,10.000,468539
